,NEG_word
1777,frighteningly
1778,frightful
1779,frightfully
1780,frigid
1781,frost
1782,frown
1783,froze
1784,frozen
1785,fruitless
1786,fruitlessly
1787,frustrate
1788,frustrated
1789,frustrates
1790,frustrating
1791,frustratingly
1792,frustration
1793,frustrations
1794,fuck
1795,fucking
1796,fudge
1797,fugitive
1798,full-blown
1799,fulminate
1800,fumble
1801,fume
1802,fumes
1803,fundamentalism
1804,funky
1805,funnily
1806,funny
1807,furious
1808,furiously
1809,furor
1810,fury
1811,fuss
1812,fussy
1813,fustigate
1814,fusty
1815,futile
1816,futilely
1817,futility
1818,fuzzy
1819,gabble
1820,gaff
1821,gaffe
1822,gainsay
1823,gainsayer
1824,gall
1825,galling
1826,gallingly
1827,galls
1828,gangster
1829,gape
1830,garbage
1831,garish
1832,gasp
1833,gauche
1834,gaudy
1835,gawk
1836,gawky
1837,geezer
1838,genocide
1839,get-rich
1840,ghastly
1841,ghetto
1842,ghosting
1843,gibber
1844,gibberish
1845,gibe
1846,giddy
1847,gimmick
1848,gimmicked
1849,gimmicking
1850,gimmicks
1851,gimmicky
1852,glare
1853,glaringly
1854,glib
1855,glibly
1856,glitch
1857,glitches
1858,gloatingly
1859,gloom
1860,gloomy
1861,glower
1862,glum
1863,glut
1864,gnawing
1865,goad
1866,goading
1867,god-awful
1868,goof
1869,goofy
1870,goon
1871,gossip
1872,graceless
1873,gracelessly
1874,graft
1875,grainy
1876,grapple
1877,grate
1878,grating
1879,gravely
1880,greasy
1881,greed
1882,greedy
1883,grief
1884,grievance
1885,grievances
1886,grieve
1887,grieving
1888,grievous
1889,grievously
1890,grim
1891,grimace
1892,grind
1893,gripe
1894,gripes
1895,grisly
1896,gritty
1897,gross
1898,grossly
1899,grotesque
1900,grouch
1901,grouchy
1902,groundless
1903,grouse
1904,growl
1905,grudge
1906,grudges
1907,grudging
1908,grudgingly
1909,gruesome
1910,gruesomely
1911,gruff
1912,grumble
1913,grumpier
1914,grumpiest
1915,grumpily
1916,grumpish
1917,grumpy
1918,guile
1919,guilt
1920,guiltily
1921,guilty
1922,gullible
1923,gutless
1924,gutter
1925,hack
1926,hacks
1927,haggard
