ngram,all,up,down,polarity,hawk/dov
한발/NNG,64,30.0,17.0,2.0072586993712696,hawkish
헤게모니/NNG,64,15.0,35.0,0.48747711270445115,dovish
인하/NNG;종료/NNG재현/NNG,64,0.5,64.0,0.00888630153367489,dovish
렙/NNG,64,18.0,30.0,0.6824679577862316,dovish
자본/NNG;확충/NNG재현/NNG,64,0.5,64.0,0.00888630153367489,dovish
회복/NNG;확산/NNG경제/NNG,64,64.0,0.5,145.5931643277294,hawkish
원자재/NNG;가격/NNG;강세/NNG,64,19.0,30.0,0.7203828443299112,dovish
ecb/NNG;인플레이션/NNG;우려/NNG,64,22.0,35.0,0.7149664319665284,dovish
금리/NNG;인하/NNG;가능성/NNG;줄/VV,64,35.0,22.0,1.809574130493796,hawkish
기일물rp/NNG,64,26.0,22.0,1.34425506836682,hawkish
지표/NNG;부정적/VAX,64,16.0,34.0,0.5352689864990052,dovish
채권시장/NNG;위험/NNG,64,30.0,20.0,1.7061698944655792,hawkish
신규/NNG;주택/NNG;판매/NNG;감소/NNG,64,35.0,15.0,2.654042058057567,hawkish
껴/VV,64,28.0,23.0,1.3847175955082962,hawkish
달러인덱스/NNG;떨어/VV,64,25.0,20.0,1.4218082453879828,hawkish
성탄/NNG,64,50.0,7.0,8.124618545074187,hawkish
장속/NNG,64,33.0,25.0,1.5014295071297097,hawkish
새롭/VA;위험/NNG재정/NNG,64,0.5,64.0,0.00888630153367489,dovish
금융안정/NNG;저해/NNG,64,20.0,31.0,0.7338365137486362,dovish
위험/NNG;상쇄/NNG,64,33.0,17.0,2.2079845693083966,hawkish
발표자/NNG,64,18.0,37.0,0.5533523982050528,dovish
조기경보시스템/NNG,64,10.0,40.0,0.2843616490775966,dovish
재투자/NNG;중단/NNG,64,28.0,20.0,1.5924252348345407,hawkish
기장/NNG,64,33.0,15.0,2.5023825118828493,hawkish
고용/NNG;지표/NNG;부진/NNG;금리/NNG;인상/NNG,64,32.0,22.0,1.6544677764514708,hawkish
뒤숭숭/NNG,64,31.0,23.0,1.533080195027042,hawkish
통행/NNG,64,18.0,35.0,0.5849725352453414,dovish
인플레이션/NNG;압력/NNG;낮/VV,64,36.0,18.0,2.2748931926207723,hawkish
스트리밍서비스/NNG,64,18.0,35.0,0.5849725352453414,dovish
확언/NNG,64,29.0,21.0,1.5707595853810095,hawkish
사회적비용/NNG,64,26.0,22.0,1.34425506836682,hawkish
ecb/NNG;성장/NNG,64,34.0,18.0,2.1485102374751737,hawkish
입주권/NNG,64,12.0,38.0,0.3591936619927535,dovish
들어선다/VV,64,29.0,25.0,1.319438051720048,hawkish
경기/NNG;회복/NNG;부담/NNG,64,30.0,24.0,1.4218082453879826,hawkish
간접투자시장/NNG,64,36.0,23.0,1.7803511942249521,hawkish
통화정책/NNG;물가/NNG;안정/NNG,64,35.0,22.0,1.809574130493796,hawkish
nan여건/NNG,64,0.5,64.0,0.00888630153367489,dovish
